,name,type,shape_in,shape_out,size_in,size_out,activations,weights
0,input_2,InputLayer,"(60, 31, 1)","(60, 31, 1)",1860,1860,1860,
1,conv0,Conv2D,"(60, 31, 1)","(30, 16, 28)",1860,13440,13440,280
4,conv1_pw,Conv2D,"(30, 16, 28)","(15, 8, 21)",13440,2520,2520,21
5,conv1_ds,SeparableConv2D,"(15, 8, 21)","(15, 8, 42)",2520,5040,2520,
8,conv2_pw,Conv2D,"(15, 8, 42)","(8, 4, 31)",5040,992,992,31
9,conv2_ds,SeparableConv2D,"(8, 4, 31)","(6, 2, 63)",992,756,372,
13,dense_3,Dense,"(756,)","(64,)",756,64,64,48448
14,activation_3,Activation,"(64,)","(64,)",64,64,64,
16,dense_4,Dense,"(64,)","(10,)",64,10,10,650
18,activation_4,Activation,"(10,)","(10,)",10,10,10,
