,name,type,shape_in,shape_out,size_in,size_out,activations,weights
0,input_2,InputLayer,"(60, 31, 1)","(60, 31, 1)",1860,1860,1860,
1,conv0,Conv2D,"(60, 31, 1)","(30, 16, 22)",1860,10560,10560,572
4,conv1pw,Conv2D,"(30, 16, 22)","(15, 8, 16)",10560,1920,1920,16
7,conv1dwv,DepthwiseConv2D,"(15, 8, 16)","(15, 8, 16)",1920,1920,1920,96
10,conv1dwh,DepthwiseConv2D,"(15, 8, 16)","(15, 8, 16)",1920,1920,1920,16
13,conv1rh,Conv2D,"(15, 8, 16)","(15, 8, 33)",1920,3960,3960,33
17,conv2pw,Conv2D,"(17, 10, 33)","(9, 5, 24)",5610,1080,1080,24
20,conv2dwv,DepthwiseConv2D,"(9, 5, 24)","(9, 1, 24)",1080,216,216,144
23,conv2dwh,DepthwiseConv2D,"(9, 1, 24)","(9, 1, 24)",216,216,216,24
26,conv2rh,Conv2D,"(9, 1, 24)","(9, 1, 49)",216,441,882,49
30,dense_3,Dense,"(441,)","(64,)",441,64,64,28288
31,activation_3,Activation,"(64,)","(64,)",64,64,64,
33,dense_4,Dense,"(64,)","(10,)",64,10,10,650
35,activation_4,Activation,"(10,)","(10,)",10,10,10,
