experiment,result_path,maccs_frame,flash_usage,ram_usage_max,ram_usage_min,val_acc_mean,test_acc_mean,test_acc_std,foreground_val_acc_mean,foreground_test_acc_mean,background_test_acc_mean,foreground_val_acc_std,foreground_test_acc_std,background_test_acc_std,model,conv_block,n_stages,conv_size,downsample_size,filters,modelcheck,nickname,classifications_per_second,cpu_mhz,cycles_avg,cycles_macc,duration_avg,macc,stack,utilization
0,./data/results/20190511-2353-0e60/0.confusion.npz,10185806.0,415100.0,36290.0,36290.0,0.7504621620194202,0.7228832544912265,0.0457232129603642,0.8074518526213863,0.7831117410733295,0.6049217813390115,0.07939134285239723,0.07137559939001309,0.07743455878660667,sbcnn,conv,3,5x5,3x2,24,skip,Baseline,1.3888888888888888,80,77743690,7.632551611526864,0.9717960000000001,10185806,388,1.3497166666666667
1,./data/results/20190511-2353-0e60/1.confusion.npz,1567280.0,98410.0,56350.0,56350.0,0.7392110900220009,0.7023497885663921,0.04725260566517194,0.7876589892814406,0.7605697327615004,0.5863530952961199,0.06058686738210737,0.07453238443826123,0.08221680622534613,sbcnn,depthwise_separable,3,5x5,3x2,24,,Baseline-DS,1.3888888888888888,80,19567373,12.484924837935786,0.244592,1567280,388,0.33971111111111113
2,./data/results/20190511-2353-0e60/2.confusion.npz,2980798.0,381150.0,56720.0,56720.0,0.7254304295217945,0.683253352371422,0.05168477240661918,0.7762349631392693,0.7414642897876715,0.5664786884929518,0.08263111583145166,0.06645655360458809,0.07977050912254509,strided,conv,3,5x5,2x2,22,,Stride,1.3888888888888888,80,26011364,8.726308860915768,0.325142,2980798,276,0.4515861111111111
3,./data/results/20190511-2353-0e60/3.confusion.npz,477236.0,184640.0,56250.0,56250.0,0.7164635271283151,0.7091549869905481,0.04266385886712038,0.7723404523839803,0.7578188068196091,0.6177433323614833,0.06495070685583013,0.06256849432180803,0.06788265026364931,strided,depthwise_separable,3,5x5,2x2,24,,Stride-DS-24,1.3888888888888888,80,6527943,13.678647461633238,0.081599,477236,292,0.11333194444444444
4,./data/results/20190511-2353-0e60/4.confusion.npz,468649.0,128750.0,48750.0,48750.0,0.6283214710121042,0.6065837024803924,0.06563365147654858,0.6795410932858436,0.6686426277041811,0.4869448764715467,0.07614480606276694,0.07949710187807633,0.08333669012166206,strided,effnet,3,5x5,2x2,22,,Stride-Effnet,1.3888888888888888,80,5876568,12.539380218457737,0.073457,468649,292,0.1020236111111111
5,./data/results/20190511-2353-0e60/5.confusion.npz,318497.0,97650.0,56250.0,56250.0,0.7057079478558448,0.671641745079695,0.06529683864732783,0.7607313147449849,0.7302735816160484,0.5583447777474977,0.07407044066450301,0.07362047466396614,0.09083644292099904,strided,depthwise_separable,4,3x3,2x2,24,,Stride-DS-3x3,1.3888888888888888,80,4763083,14.954875556127687,0.059537999999999994,318497,292,0.08269166666666665
6,./data/results/20190511-2353-0e60/6.confusion.npz,445688.0,81940.0,48750.0,48750.0,0.6698657225479974,0.6475276531146472,0.07140934988028681,0.718927843883594,0.6949770479695294,0.5527850024134862,0.07599178956131296,0.08168267331696807,0.08936074978068986,strided,bottleneck_ds,3,5x5,2x2,22,,Stride-BTLN-DS,1.3888888888888888,80,5691859,12.77094963292707,0.071148,445688,292,0.09881666666666666
7,./data/results/20190511-2353-0e60/7.confusion.npz,380749.0,152810.0,46880.0,46880.0,0.7253858505484202,0.6835301109357117,0.05198140981956167,0.7782041173871992,0.7501079340933893,0.5524621960988517,0.06826333792888073,0.07397878479530626,0.09980666459772065,strided,depthwise_separable,3,5x5,2x2,20,,Stride-DS-20,1.3888888888888888,80,5306424,13.936803510974421,0.06633,380749,292,0.092125
8,./data/results/20190511-2353-0e60/8.confusion.npz,291318.0,121590.0,37500.0,37500.0,0.7019131816809787,0.6745143882031555,0.055726131910521705,0.7708969351555399,0.7331726007652943,0.5624903323759647,0.06371140167891458,0.07730463700999461,0.08328152373209148,strided,depthwise_separable,3,5x5,2x2,16,,Stride-DS-16,1.3888888888888888,80,4137172,14.201566672845482,0.051713999999999996,291318,292,0.07182499999999999
9,./data/results/20190511-2353-0e60/9.confusion.npz,208943.0,90970.0,28130.0,28130.0,0.6874808400390058,0.6596136113637743,0.059973995579300055,0.7440812984893596,0.726166442898978,0.5327118531079944,0.0774461426216654,0.06536956016773614,0.09085781665312094,strided,depthwise_separable,3,5x5,2x2,12,,Stride-DS-12,1.3888888888888888,80,3040495,14.551791636953618,0.038006,208943,292,0.05278611111111111
