name,accuracy,flops,params,reference,augmentation,features
PiczakCNN,0.73,,25534090,Piczak,"","logmel+delta-logmel"
PiczakCNN_aug,0.75,,25534090,Piczak,"","logmel+delta-logmel"
SBCNN,0.72,,431898,SalomonBello,"","logmel"
SBCNN_aug,0.78,,431898,SalomonBello,"pitchshift,timestretch,dynamicrange,noisemix","logmel"
DmixCnn,0.837,,,ZhichaoZhang,"pitchshift,timestretch,mixup","gammatone/logmel"
EnvNetv2,0.691,,,Tokozume,"","waveform"
EnvNetv2_aug,0.783,,,Tokozume,",betweenclass","waveform"
D-CNN,0.819,,,Zhang,"timestretch","logmel+delta-logmel"
LD-CNN,0.79,,500000,Zhang2018,"timestretch","logmel+delta-logmel"
DilaConv,0.78,,,YanChen2019,"?","logmel"
WSNet,0.70,,288000,Xiaojie,"?","waveform"
